Lemme,POS,frequence
conformité,NOUN,7
saison,NOUN,7
pause,NOUN,7
relais,NOUN,7
égide,NOUN,7
exclure,NOUN,7
dégât,NOUN,7
espèce,NOUN,7
reconquête,NOUN,7
racine,NOUN,7
solidaire,ADJ,7
cycle,NOUN,7
douze,VERB,7
navigation,NOUN,7
réguler,VERB,7
Mer,PROPN,7
clore,VERB,7
parlai,ADJ,7
convoquer,VERB,7
distributeur,NOUN,7
est-ell,ADJ,7
reparler,VERB,7
colossal,ADJ,7
OCDE,PROPN,7
municipal,ADJ,7
probable,ADJ,7
sévir,VERB,7
défiance,NOUN,7
tarif,NOUN,7
mayotte,NOUN,7
impulsion,NOUN,7
doublement,NOUN,7
bio,ADJ,7
démanteler,VERB,7
cibl,ADJ,7
visa,NOUN,7
éclairer,VERB,7
sécheresse,NOUN,7
rapidité,NOUN,7
expliquer,NOUN,7
protestant,ADJ,7
dignité,NOUN,7
adresse,VERB,7
composer,VERB,7
enregistrer,VERB,7
souhaitent,NOUN,7
Ocean,PROPN,7
réfugié,NOUN,7
ose,VERB,7
intelligence,NOUN,7
ambassadeur,NOUN,7
évacuer,VERB,7
Francesco,PROPN,7
déplorer,VERB,7
recul,VERB,7
rang,NOUN,7
frais,NOUN,7
raison,VERB,7
arbitrage,NOUN,7
attendre,ADJ,7
structurer,VERB,7
territorialiser,VERB,7
Cluzel,PROPN,7
fier,NOUN,7
Arthur,PROPN,7
cdd,NOUN,7
mental,ADJ,7
veux,ADJ,7
Haute-Savoie,PROPN,7
Guillaume,PROPN,7
incompréhension,NOUN,7
conjoint,NOUN,7
téléphonique,ADJ,7
débarrasser,VERB,7
exécutif,NOUN,7
prescription,NOUN,7
anticorps,NOUN,7
défiscaliser,VERB,7
affirmation,NOUN,7
ultime,ADJ,7
complexité,NOUN,7
insécurité,NOUN,7
drogue,NOUN,7
cannabis,NOUN,7
pied,ADJ,7
infrastructure,NOUN,7
conforme,ADJ,7
allemand,NOUN,7
récupérer,VERB,7
carbon,ADJ,7
net,NOUN,7
Laurent,PROPN,7
prêter,VERB,7
Rhône,PROPN,7
pharmacie,VERB,7
majeur,NOUN,7
quasi-totalité,NOUN,7
lignée,NOUN,7
cnil,NOUN,7
médiatique,ADJ,7
zéro,ADJ,7
aune,NOUN,7
réinsertion,NOUN,7
considération,NOUN,7
préliminaire,ADJ,7
procureur,NOUN,7
éloigné,ADJ,7
magasin,NOUN,7
pratique,ADJ,7
punir,VERB,7
caractère,NOUN,7
analyser,VERB,7
dysfonctionnement,NOUN,7
pénurie,NOUN,7
Moreno,PROPN,7
festival,NOUN,7
livre,NOUN,7
différenciation,NOUN,7
Louis,PROPN,7
élodie,NOUN,7
redoubler,VERB,7
précéder,VERB,7
démissionner,VERB,7
act,ADJ,7
transfert,NOUN,7
rectorat,NOUN,7
davantage,NOUN,7
similaire,ADJ,7
dématérialiser,VERB,7
Prime,PROPN,7
Jean-Rémi,PROPN,7
ena,NOUN,7
optique,ADJ,7
défavorable,ADJ,7
clandestin,ADJ,7
retrait,NOUN,7
voir,ADJ,7
instituer,VERB,7
formule,NOUN,7
positionner,VERB,7
format,NOUN,7
oeil,NOUN,7
Police,PROPN,7
comment,ADJ,7
supposer,VERB,7
allouer,VERB,7
suffrage,NOUN,7
attribution,NOUN,7
équilibrer,VERB,7
rural,ADJ,7
automobile,NOUN,7
nul,ADJ,7
escalade,NOUN,7
abandonner,VERB,7
étape,VERB,7
déconfinement,NOUN,7
achever,VERB,7
promulguer,VERB,7
déjouer,VERB,7
guadeloupe,NOUN,7
martinique,NOUN,7
attribuer,VERB,7
projection,NOUN,7
territorialisation,NOUN,7
affecter,VERB,7
référendum,NOUN,7
référendaire,ADJ,7
profond,VERB,7
instrumentalisation,NOUN,7
diversité,NOUN,7
modernisation,NOUN,7
minuit,NOUN,7
non-respect,NOUN,7
soulèvement,NOUN,7
portée,NOUN,7
ultramarin,ADJ,7
arrêt,NOUN,7
laissez,NOUN,7
compétitivité,NOUN,7
assistant,NOUN,7
résolution,NOUN,7
profondeur,NOUN,7
pupitre,VERB,6
soulagement,NOUN,6
écarter,VERB,6
élargissement,NOUN,6
restructuration,NOUN,6
délégation,NOUN,6
radicaliser,VERB,6
cible,NOUN,6
séance,NOUN,6
Mélenchon,PROPN,6
lr,NOUN,6
1ᵉʳ,VERB,6
extraordinaire,ADJ,6
arsenal,NOUN,6
guichet,NOUN,6
paradoxe,NOUN,6
sérieux,NOUN,6
geler,VERB,6
double,NOUN,6
Chine,PROPN,6
souverain,ADJ,6
batterie,NOUN,6
indexation,NOUN,6
loyer,NOUN,6
modeste,ADJ,6
contrepartie,NOUN,6
fardeau,NOUN,6
gain,NOUN,6
palier,NOUN,6
interrompre,VERB,6
identification,NOUN,6
résidence,NOUN,6
permettra,NOUN,6
nationalisation,NOUN,6
suggérer,VERB,6
rose,NOUN,6
actionnaire,NOUN,6
Boris,PROPN,6
consécutif,ADJ,6
maître,ADJ,6
aération,NOUN,6
séquencer,VERB,6
talent,NOUN,6
reposer,VERB,6
restrictif,ADJ,6
épuiser,VERB,6
bronchiolite,NOUN,6
grippe,NOUN,6
exact,ADJ,6
mort,ADJ,6
détenu,ADJ,6
aboutissement,NOUN,6
certificat,NOUN,6
Excusez,PROPN,6
avai,ADJ,6
réussie,NOUN,6
diversifier,VERB,6
intensité,NOUN,6
fréquentation,NOUN,6
note,NOUN,6
factuel,ADJ,6
pourquoi,NOUN,6
décliner,VERB,6
chômeur,NOUN,6
nord-est,NOUN,6
dramatique,ADJ,6
prouver,VERB,6
indignation,NOUN,6
sincère,ADJ,6
confirmation,NOUN,6
sain,ADJ,6
dédoubler,VERB,6
déjeuner,NOUN,6
incompressible,ADJ,6
poche,NOUN,6
élaborer,VERB,6
Barbara,PROPN,6
Pompili,PROPN,6
apologie,NOUN,6
avoir,NOUN,6
hebdomadaire,ADJ,6
rétorsion,NOUN,6
Annick,PROPN,6
Girardin,PROPN,6
assassinat,NOUN,6
tragique,ADJ,6
Rebonjour,PROPN,6
science,NOUN,6
courageux,ADJ,6
symbole,NOUN,6
isolation,NOUN,6
équilibré,ADJ,6
redonner,VERB,6
étayer,VERB,6
meurtre,NOUN,6
Grenoble,PROPN,6
lyonnais,ADJ,6
vigiler,VERB,6
serrer,VERB,6
résolumer,VERB,6
opérateur,NOUN,6
apport,NOUN,6
mixte,ADJ,6
visage,NOUN,6
remarquer,VERB,6
sécuritaire,ADJ,6
épouse,NOUN,6
notion,NOUN,6
féliciter,VERB,6
ajuster,VERB,6
change,NOUN,6
langue,NOUN,6
faison,NOUN,6
réjouir,NOUN,6
autoroute,NOUN,6
aménagement,NOUN,6
accomplir,VERB,6
désigner,VERB,6
Viking,PROPN,6
vingtaine,NOUN,6
religieux,ADJ,6
Franche,PROPN,6
Comté,PROPN,6
tunnel,NOUN,6
guide,VERB,6
montagne,NOUN,6
conversion,NOUN,6
conséquent,ADJ,6
élevage,NOUN,6
Jeunesse,PROPN,6
espagne,NOUN,6
classer,VERB,6
engouement,NOUN,6
dédier,ADJ,6
future,NOUN,6
boîte,NOUN,6
Côte,PROPN,6
duoday,NOUN,6
elle,ADJ,6
fier,VERB,6
baser,VERB,6
rupture,NOUN,6
civique,ADJ,6
bas,NOUN,6
slogan,NOUN,6
redresser,VERB,6
déconjugalisation,NOUN,6
accélèr,ADJ,6
uni,ADJ,6
forum,NOUN,6
signalement,NOUN,6
gratuit,NOUN,6
Insee,PROPN,6
Larrouturou,PROPN,6
sacrifier,VERB,6
mérite,NOUN,6
ajustement,NOUN,6
maximum,ADJ,6
Polynésie,PROPN,6
remplacement,NOUN,6
finalisation,NOUN,6
criminalité,NOUN,6
drogu,ADJ,6
Economie,PROPN,6
Georges,PROPN,6
conception,NOUN,6
massif,NOUN,6
sûr,VERB,6
Eric,PROPN,6
publicité,NOUN,6
gage,NOUN,6
traditionnel,ADJ,6
satisfaction,NOUN,6
Halimi,PROPN,6
souhaitez,NOUN,6
américain,ADJ,6
concerner,ADJ,6
café,NOUN,6
passeport,NOUN,6
indépendammer,VERB,6
sud-africain,ADJ,6
assesseur,NOUN,6
chronique,ADJ,6
intervalle,NOUN,6
soldat,NOUN,6
premier,NOUN,6
prothèse,NOUN,6
considéron,ADJ,6
pen,NOUN,6
retourner,VERB,6
EHPAD,PROPN,6
mariage,NOUN,6
célébrer,VERB,6
conjugal,ADJ,6
écho,NOUN,6
ars,NOUN,6
cadence,NOUN,6
intermittent,NOUN,6
exonération,NOUN,6
musique,NOUN,6
profonde,NOUN,6
concert,NOUN,6
nationalité,NOUN,6
qualifié,ADJ,6
immédiat,NOUN,6
interne,ADJ,6
toxicomane,NOUN,6
Tron,PROPN,6
dérèglement,NOUN,6
préventif,ADJ,6
compte-rendu,ADJ,6
équivalent,NOUN,6
temporalité,NOUN,6
caractériser,VERB,6
trou,NOUN,6
essoufflement,NOUN,6
puissant,ADJ,6
croissant,ADJ,6
clandestin,NOUN,6
venue,NOUN,6
rappelon,NOUN,6
mediapart,NOUN,6
refaire,NOUN,6
Quentin,PROPN,6
honorer,VERB,6
plus,NOUN,6
rédaction,NOUN,6
desserrer,VERB,6
serviteur,NOUN,6
Ile,PROPN,6
garanti,ADJ,6
Orient,PROPN,6
enrichir,VERB,6
aîné,NOUN,6
avouer,VERB,6
améliore,NOUN,6
décentralisation,NOUN,6
pérenniser,VERB,6
Services,PROPN,6
modem,NOUN,6
bloc,NOUN,6
faible,NOUN,6
Zemmour,PROPN,6
franc,ADJ,6
marcher,VERB,6
discernement,NOUN,6
régulièremer,VERB,6
mer,PROPN,6
gestionnaire,NOUN,6
relâcher,VERB,6
révision,NOUN,6
comparaison,NOUN,6
Catherine,PROPN,6
Biden,PROPN,6
bâti,NOUN,6
modification,NOUN,6
attractif,NOUN,6
préfectoral,ADJ,6
baromètre,NOUN,6
décaler,VERB,6
durcissement,NOUN,6
fret,NOUN,6
Lola,PROPN,6
soi,NOUN,6
désoler,VERB,6
interpellation,NOUN,6
émeutier,NOUN,6
tribunal,NOUN,6
raccourcir,VERB,6
Orientales,PROPN,6
corrélation,NOUN,6
investigation,NOUN,6
attraction,NOUN,6
dense,NOUN,6
potentiel,NOUN,6
matériel,NOUN,6
Rénov,PROPN,6
consulaire,ADJ,6
socialiste,ADJ,6
épidémiologique,ADJ,6
otage,NOUN,6
fracture,NOUN,6
limite,VERB,6
Calais,PROPN,6
moyen-orient,NOUN,6
1re,NOUN,6
palestinien,ADJ,6
investiture,NOUN,6
-,ADJ,6
Valneva,PROPN,6
Turquie,PROPN,6
stéréotype,NOUN,6
renouer,VERB,5
pollution,NOUN,5
animal,ADJ,5
disparité,NOUN,5
toucher,ADJ,5
entraîn,ADJ,5
papier,NOUN,5
Saint-Martin,PROPN,5
exploit,NOUN,5
omicron,NOUN,5
fixe,ADJ,5
sortir,ADJ,5
football,NOUN,5
lever,ADJ,5
irresponsable,ADJ,5
citoyenneté,NOUN,5
contradictoire,ADJ,5
discothèque,ADJ,5
foire,NOUN,5
Parisien,PROPN,5
fierté,ADJ,5
Édouard,PROPN,5
Mitterrand,PROPN,5
instar,NOUN,5
protecteur,ADJ,5
rattrapage,NOUN,5
légitime,NOUN,5
décile,NOUN,5
PEPA,PROPN,5
abus,NOUN,5
emprisonnement,NOUN,5
remarqu,ADJ,5
unilatéral,ADJ,5
minima,NOUN,5
ambiguïté,NOUN,5
stockage,NOUN,5
charbon,ADJ,5
énergéticien,NOUN,5
anime,VERB,5
fragiliser,VERB,5
Crous,PROPN,5
campus,NOUN,5
allonger,VERB,5
supprimer,ADJ,5
péril,NOUN,5
quoi,NOUN,5
chaud,PROPN,5
performance,NOUN,5
échappé,ADJ,5
offshore,ADJ,5
presse,VERB,5
exploser,VERB,5
canal,NOUN,5
calcul,NOUN,5
contour,NOUN,5
battu,ADJ,5
ralentir,VERB,5
delta,NOUN,5
Vidal,PROPN,5
admettre,VERB,5
psychologue,NOUN,5
équivaloir,VERB,5
pédiatrique,ADJ,5
éthique,NOUN,5
mutation,NOUN,5
drastiquemer,VERB,5
Pasteur,PROPN,5
arrestation,NOUN,5
investi,NOUN,5
fondre,VERB,5
nourrie,NOUN,5
enceinte,NOUN,5
renseigner,VERB,5
redevenir,VERB,5
puisqu,ADJ,5
sécurisation,NOUN,5
étage,NOUN,5
relève,NOUN,5
excellent,ADJ,5
embellie,NOUN,5
estival,ADJ,5
covid,ADJ,5
art,NOUN,5
prélever,VERB,5
rsa,NOUN,5
démographique,ADJ,5
William,PROPN,5
afficher,VERB,5
amont,VERB,5
conserve,VERB,5
défaut,NOUN,5
potentiel,ADJ,5
propice,NOUN,5
exclur,ADJ,5
agiter,VERB,5
aggraver,VERB,5
amorcer,VERB,5
idéologie,NOUN,5
appareil,NOUN,5
rouge,VERB,5
section,NOUN,5
ce1,NOUN,5
lunette,NOUN,5
auditif,ADJ,5
dentaire,ADJ,5
aviation,NOUN,5
navire,ADJ,5
treizième,NOUN,5
manœuvre,NOUN,5
fermée,NOUN,5
démonstration,NOUN,5
islamisme,NOUN,5
silt,VERB,5
sérieux,PROPN,5
susceptible,ADJ,5
dissoudre,ADJ,5
singulièremer,VERB,5
difficile,NOUN,5
articuler,VERB,5
prendra,NOUN,5
angoisse,NOUN,5
vice-président,NOUN,5
conformer,VERB,5
silence,NOUN,5
commémorer,VERB,5
augment,ADJ,5
optimiste,ADJ,5
peloton,NOUN,5
réclamer,VERB,5
photovoltaïque,ADJ,5
jambe,NOUN,5
mix,NOUN,5
phytosanitaire,ADJ,5
continu,ADJ,5
insuffisant,ADJ,5
décevoir,VERB,5
inverser,VERB,5
investir,ADJ,5
débordement,NOUN,5
submerger,VERB,5
fourniture,NOUN,5
quai,NOUN,5
manger,VERB,5
personnalité,NOUN,5
rugby,NOUN,5
légitimement,ADJ,5
répondre,ADJ,5
paritaire,ADJ,5
détruire,ADJ,5
Rousseau,PROPN,5
hasard,NOUN,5
converger,VERB,5
prétendre,VERB,5
piloter,VERB,5
cop,NOUN,5
tableau,NOUN,5
Toulon,PROPN,5
matinée,NOUN,5
illustre,VERB,5
plein,NOUN,5
brigade,NOUN,5
Alexis,PROPN,5
échapper,VERB,5
pardon,VERB,5
religieux,NOUN,5
cyclable,ADJ,5
Strasbourg,PROPN,5
grenelle,NOUN,5
Parcours,PROPN,5
cohérent,ADJ,5
Colin,PROPN,5
Jean-Baptiste,PROPN,5
Hélène,PROPN,5
collective,NOUN,5
jury,NOUN,5
Échos,PROPN,5
inclusion,NOUN,5
réalisation,NOUN,5
présentiel,NOUN,5
pédagogie,NOUN,5
Chosal,PROPN,5
beau,NOUN,5
équité,NOUN,5
Daret,PROPN,5
habiter,VERB,5
Bordeaux,PROPN,5
plein,VERB,5
sensibilisation,NOUN,5
anniversaire,NOUN,5
parer,VERB,5
imaginez,NOUN,5
mécanique,NOUN,5
impunité,NOUN,5
connecter,VERB,5
déchet,NOUN,5
repérer,VERB,5
harmonisation,NOUN,5
accrue,NOUN,5
prospérer,VERB,5
littérature,NOUN,5
Delfraissy,PROPN,5
monoclonal,ADJ,5
commun,NOUN,5
certification,NOUN,5
Biélorussie,PROPN,5
calculer,VERB,5
joindre,VERB,5
brésil,NOUN,5
océan,NOUN,5
fermé,ADJ,5
parfaire,VERB,5
Protéger,PROPN,5
hôtel,NOUN,5
triplement,NOUN,5
alison,NOUN,5
accumuler,VERB,5
réduire,NOUN,5
logiciel,NOUN,5
prétexte,NOUN,5
démarrage,NOUN,5
Loïc,PROPN,5
manoeuvre,NOUN,5
délinquant,NOUN,5
voyou,NOUN,5
profil,NOUN,5
notable,ADJ,5
contemporain,ADJ,5
tva,NOUN,5
minimum,ADJ,5
sérénité,NOUN,5
trancher,VERB,5
gouverner,VERB,5
délégué,ADJ,5
impuissance,NOUN,5
Républicains,PROPN,5
Bourgogne,PROPN,5
organique,ADJ,5
PIB,PROPN,5
applicable,ADJ,5
juridiction,NOUN,5
séparer,VERB,5
justiciable,NOUN,5
délégué,NOUN,5
Gaulle,PROPN,5
Marie,PROPN,5
lire,PROPN,5
influence,NOUN,5
distribuer,VERB,5
vague,ADJ,5
restreindre,VERB,5
exponentiel,ADJ,5
Société,PROPN,5
deuil,NOUN,5
hectare,NOUN,5
OTAN,PROPN,5
rejeter,VERB,5
Nény,PROPN,5
sang,NOUN,5
tenant,NOUN,5
confirme,NOUN,5
pierre,NOUN,5
compagne,NOUN,5
soixantaine,NOUN,5
fonctionn,ADJ,5
émancipation,NOUN,5
gramme,NOUN,5
contractuel,NOUN,5
dénoncer,VERB,5
Fischer,PROPN,5
féminicide,NOUN,5
courant,ADJ,5
Amiens,PROPN,5
africain,ADJ,5
commémoration,NOUN,5
compréhension,NOUN,5
demi-jauge,NOUN,5
doté,NOUN,5
envers,ADJ,5
usager,ADJ,5
timing,NOUN,5
demeure,NOUN,5
relativiser,VERB,5
permett,ADJ,5
mienne,NOUN,5
demeurer,VERB,5
contacter,VERB,5
attachement,NOUN,5
arrache,NOUN,5
convergence,NOUN,5
audiovisuel,ADJ,5
interdire,NOUN,5
séparation,NOUN,5
lucide,ADJ,5
international,NOUN,5
reflet,NOUN,5
varier,ADJ,5
transit,NOUN,5
réintégrer,VERB,5
Lampedusa,PROPN,5
Menton,PROPN,5
affection,NOUN,5
humain,NOUN,5
exact,NOUN,5
snu,NOUN,5
vivre,NOUN,5
éclaircir,VERB,5
front,VERB,5
salivaire,ADJ,5
descendre,VERB,5
pont,NOUN,5
uniforme,NOUN,5
compte-tenu,VERB,5
hivernal,ADJ,5
faire,PROPN,5
privilégier,VERB,5
croyez,NOUN,5
maillage,NOUN,5
soulager,VERB,5
passion,NOUN,5
Leroux,PROPN,5
neuf,ADJ,5
ascension,NOUN,5
déconcentration,NOUN,5
Macron,PROPN,5
construire,ADJ,5
débattre,ADJ,5
appréciation,NOUN,5
lourd,NOUN,5
froid,ADJ,5
détaché,ADJ,5
recrudescence,NOUN,5
Londres,PROPN,5
aah,NOUN,5
précieux,ADJ,5
antiterroriste,ADJ,5
baiss,ADJ,5
reconstruir,ADJ,5
sevrage,NOUN,5
devon,NOUN,5
plf,NOUN,5
cler,VERB,5
prévoit,NOUN,5
concret,PROPN,5
redire,NOUN,5
anglais,ADJ,5
r,NOUN,5
charente,NOUN,5
strict,VERB,5
emporte,NOUN,5
identifié,ADJ,5
confirmez,NOUN,5
aigu,ADJ,5
1r,ADJ,5
variante,NOUN,5
souffler,VERB,5
diagnostiquer,VERB,5
pétrolier,ADJ,5
Fontemaggi,PROPN,5
concerter,VERB,5
Léopold,PROPN,5
Audebert,PROPN,5
patronat,NOUN,5
habituer,VERB,5
Christelle,PROPN,5
porteur,NOUN,5
somme,NOUN,5
subvention,NOUN,5
désaccord,NOUN,5
approfondie,NOUN,5
agroalimentaire,ADJ,5
proportionnée,NOUN,5
partisan,NOUN,5
évènement,NOUN,5
localiser,VERB,5
horaire,NOUN,5
denrée,NOUN,5
menu,NOUN,5
existant,ADJ,5
consulaire,NOUN,5
b,NOUN,5
continu,NOUN,5
Sanofi,PROPN,5
Hauts,PROPN,5
Exécutif,PROPN,5
acquis,NOUN,5
Libye,PROPN,5
austral,ADJ,5
Air,PROPN,5
thématique,ADJ,5
foi,NOUN,5
ponction,NOUN,5
Agirc,PROPN,5
Arrco,PROPN,5
politico,NOUN,5
Poutine,PROPN,5
délivrance,NOUN,5
russe,NOUN,5
compétitif,ADJ,5
distinguer,VERB,5
solaire,ADJ,5
pylône,NOUN,5
paritarisme,NOUN,5
politiquemer,VERB,5
patriote,NOUN,5
contraception,NOUN,4
légume,NOUN,4
voire,VERB,4
comprenez,NOUN,4
hôpital,ADJ,4
côte,NOUN,4
Saint-Barthélémy,PROPN,4
concilier,NOUN,4
surmonter,VERB,4
racisme,NOUN,4
illustrer,VERB,4
Qatar,PROPN,4
recouvrement,NOUN,4
emmerder,VERB,4
risque,VERB,4
Audrey,PROPN,4
Tison,PROPN,4
modérer,ADJ,4
chinois,ADJ,4
sert,ADJ,4
office,NOUN,4
géant,NOUN,4
géopolitique,ADJ,4
successif,ADJ,4
historique,VERB,4
viande,NOUN,4
plafonnement,NOUN,4
adversaire,NOUN,4
boucler,VERB,4
déficit,ADJ,4
nouveauté,ADJ,4
démultiplier,VERB,4
relocaliser,VERB,4
coûteux,ADJ,4
rapider,VERB,4
location,NOUN,4
contraire,ADJ,4
comporte,VERB,4
traquer,VERB,4
bouton,NOUN,4
reverser,VERB,4
tripler,VERB,4
identique,ADJ,4
zéro,NOUN,4
signature,NOUN,4
Smic,PROPN,4
excuse,NOUN,4
pardonner,VERB,4
sobriété,NOUN,4
concevoir,VERB,4
ponctuel,ADJ,4
2022,NOUN,4
apprécier,VERB,4
sociétal,ADJ,4
personnaliser,VERB,4
inhérent,ADJ,4
parl,ADJ,4
«,NOUN,4
cumuler,VERB,4
valorisation,NOUN,4
dépass,ADJ,4
expose,NOUN,4
entourage,NOUN,4
spécialiser,VERB,4
contrer,VERB,4
montre,NOUN,4
Frédérique,PROPN,4
sort,NOUN,4
sélectif,ADJ,4
accueillent,NOUN,4
réarmer,VERB,4
immunodéprimer,VERB,4
enlever,VERB,4
accéléré,ADJ,4
suspect,NOUN,4
revien,ADJ,4
grever,VERB,4
serein,ADJ,4
Djebbari,PROPN,4
incident,NOUN,4
dévoiler,VERB,4
facile,NOUN,4
porte-voix,NOUN,4
propagation,NOUN,4
adhésion,NOUN,4
jeudi,PROPN,4
participatif,ADJ,4
souvenir,NOUN,4
catastrophique,ADJ,4
inverse,ADJ,4
patience,NOUN,4
théorique,ADJ,4
sobriéter,VERB,4
être,PROPN,4
finalité,NOUN,4
contre,NOUN,4
vote,VERB,4
Rocard,PROPN,4
anticipant,NOUN,4
CEDH,PROPN,4
trentaine,NOUN,4
dernier,NOUN,4
réactivité,NOUN,4
découverte,NOUN,4
marin,ADJ,4
misère,NOUN,4
révolution,NOUN,4
cp,NOUN,4
mixité,NOUN,4
gratuit,ADJ,4
biotechnologie,NOUN,4
drone,NOUN,4
maritime,NOUN,4
légiférer,VERB,4
réactiver,VERB,4
aggrave,NOUN,4
permanente,NOUN,4
djihad,PROPN,4
parcourir,VERB,4
suspendre,ADJ,4
mandature,NOUN,4
prêcher,VERB,4
admirable,ADJ,4
perpétrer,VERB,4
choquer,VERB,4
dérive,NOUN,4
stable,ADJ,4
RTE,PROPN,4
second,NOUN,4
orienter,VERB,4
surface,NOUN,4
clausu,ADJ,4
immédiat,VERB,4
cacher,ADJ,4
problématique,NOUN,4
demeur,ADJ,4
manque,VERB,4
acceptable,ADJ,4
compétent,ADJ,4
Bretagne,PROPN,4
avon,NOUN,4
communiqué,NOUN,4
témoin,NOUN,4
écologiste,ADJ,4
édicter,VERB,4
boire,VERB,4
amitié,NOUN,4
rétention,NOUN,4
abaisser,VERB,4
espagnol,ADJ,4
Olympiques,PROPN,4
tradition,NOUN,4
séquence,NOUN,4
compliqué,ADJ,4
finaliser,VERB,4
étonner,VERB,4
Aurélien,PROPN,4
numéro,VERB,4
diriger,VERB,4
converger,NOUN,4
injonction,NOUN,4
affiner,VERB,4
tempête,NOUN,4
unir,VERB,4
vaste,ADJ,4
carboner,VERB,4
passoire,NOUN,4
avancement,NOUN,4
substance,NOUN,4
combattant,NOUN,4
Méditerranée,PROPN,4
secourir,ADJ,4
assistance,NOUN,4
secours,NOUN,4
éloignement,NOUN,4
passeur,NOUN,4
territoriale,NOUN,4
bêtise,NOUN,4
concret,VERB,4
géographique,ADJ,4
Télévisions,PROPN,4
Seine,PROPN,4
Catalogne,PROPN,4
détenir,VERB,4
bloqu,ADJ,4
réel,NOUN,4
approche,VERB,4
Renov,PROPN,4
implantation,NOUN,4
fer,NOUN,4
rayonnement,NOUN,4
diplomatique,VERB,4
payer,ADJ,4
Camille,PROPN,4
épargner,VERB,4
Lemoyne,PROPN,4
Terzian,PROPN,4
ralentissement,NOUN,4
pile,NOUN,4
isolé,NOUN,4
immeuble,NOUN,4
Galibert,PROPN,4
rigoureux,ADJ,4
rapprochement,NOUN,4
invisible,ADJ,4
sensibiliser,VERB,4
privilégier,ADJ,4
basculer,VERB,4
emploi,ADJ,4
conseiller,VERB,4
ferme,NOUN,4
bienveillance,NOUN,4
panier,NOUN,4
jusqu,ADJ,4
handicapé,NOUN,4
suscite,NOUN,4
pointer,VERB,4
désinformation,NOUN,4
naissance,NOUN,4
injustice,NOUN,4
individualiser,VERB,4
quid,NOUN,4
Pineau,PROPN,4
fabriquer,VERB,4
savion,NOUN,4
autriche,NOUN,4
non-vacciné,NOUN,4
Belgique,PROPN,4
constance,NOUN,4
violation,NOUN,4
pas,ADJ,4
aill,ADJ,4
cancer,NOUN,4
dérogation,NOUN,4
enclencher,VERB,4
brésilien,ADJ,4
val-de-marne,NOUN,4
Essonne,PROPN,4
sévérité,NOUN,4
vertigineux,ADJ,4
creuser,VERB,4
forfaitaire,ADJ,4
communal,ADJ,4
oui,ADJ,4
élève,ADJ,4
Signor,PROPN,4
abîmer,VERB,4
approfondir,VERB,4
lisible,ADJ,4
viol,NOUN,4
portefeuille,NOUN,4
Wauquiez,PROPN,4
contradiction,NOUN,4
préférence,NOUN,4
auvergne,NOUN,4
aube,NOUN,4
avant-poste,NOUN,4
occasionner,VERB,4
conducteur,NOUN,4
ferroviaire,ADJ,4
voeu,NOUN,4
attarder,VERB,4
mérite,VERB,4
ombre,NOUN,4
-vous,PROPN,4
récidive,NOUN,4
Nicolas,PROPN,4
suspect,ADJ,4
médiation,NOUN,4
fierté,NOUN,4
irresponsabilité,NOUN,4
Sarah,PROPN,4
perdu,NOUN,4
mme,NOUN,4
prie,NOUN,4
direct,NOUN,4
acheminer,VERB,4
astrazeneca,ADJ,4
Yannick,PROPN,4
absent,NOUN,4
suivant,ADJ,4
réduit,ADJ,4
inspirer,VERB,4
contraignante,NOUN,4
isolé,ADJ,4
brûler,VERB,4
velléité,NOUN,4
accession,NOUN,4
conduite,NOUN,4
posture,NOUN,4
diligenter,VERB,4
Cayeux,PROPN,4
pma,NOUN,4
virginie,NOUN,4
Riva,PROPN,4
RMC,PROPN,4
Mérignac,PROPN,4
dépister,VERB,4
vivant,ADJ,4
tentative,NOUN,4
spoutnik,VERB,4
manipulation,NOUN,4
convenir,VERB,4
16,NOUN,4
multiplication,NOUN,4
cantonner,VERB,4
survenir,VERB,4
chantrer,VERB,4
naître,VERB,4
Raguenel,PROPN,4
mali,NOUN,4
intensifier,VERB,4
Rwanda,PROPN,4
mémoriel,ADJ,4
génocide,NOUN,4
redevance,NOUN,4
souligner,NOUN,4
multilatéral,ADJ,4
algorithme,NOUN,4
secondaire,ADJ,4
conster,VERB,4
stress,NOUN,4
traduction,NOUN,4
repenser,VERB,4
ignorer,VERB,4
imagine,NOUN,4
entourer,VERB,4
date,VERB,4
soulever,VERB,4
Sup,PROPN,4
refonte,NOUN,4
barrage,NOUN,4
approprié,ADJ,4
scolaire,VERB,4
remarque,NOUN,4
abstention,NOUN,4
rhône,NOUN,4
fixée,NOUN,4
peinture,NOUN,4
tabou,NOUN,4
Écologie,PROPN,4
Verts,PROPN,4
oublié,NOUN,4
billetterie,NOUN,4
maternité,NOUN,4
mourir,VERB,4
frappe,VERB,4
roi,NOUN,4
Charles,PROPN,4
supermarché,NOUN,4
téler,VERB,4
foncier,ADJ,4
équitable,ADJ,4
réviser,VERB,4
Chatelier,PROPN,4
a,NOUN,4
volontiers,VERB,4
Angleterre,PROPN,4
intervenu,ADJ,4
faiblir,VERB,4
suivant,NOUN,4
recharge,NOUN,4
collaboration,NOUN,4
mi-décembre,NOUN,4
écossais,ADJ,4
angle,NOUN,4
mesure,VERB,4
indirect,ADJ,4
désert,NOUN,4
lucidité,NOUN,4
hisser,VERB,4
questionner,VERB,4
vient,NOUN,4
